이름,주소,카테고리,위도,경도,source
런드리24 구로디지털단지점,서울 구로구 구로동 1127-22,코인빨래방,37.48199216386727,126.89880344541413,keyword
런드리24 동작협성휴포레점,서울 동작구 신대방동 686-48,코인빨래방,37.4862741621361,126.904711172498,keyword
워시엔조이 관악조원점,서울 관악구 신림동 564-38,코인빨래방,37.48135242193,126.908727713359,keyword
크린업24 독산점,서울 금천구 독산동 143-12,코인빨래방,37.4770839636255,126.898331841303,keyword
호텔런드리 관악조원점,서울 관악구 신림동 545-1,코인빨래방,37.482493054382,126.909843390235,keyword
워시팡팡셀프빨래방 신림1호점,서울 관악구 신림동 1667-34,코인빨래방,37.4800899542754,126.90179304441,keyword
런드리익스프레스샵 가산점,서울 금천구 가산동 146-19,코인빨래방,37.47754784357775,126.8940701423929,keyword
런드리익스프레스샵 신대방역조원점,서울 관악구 신림동 518-47,코인빨래방,37.485575508637694,126.91237805922306,keyword
런드리24 신림조원점,서울 관악구 신림동 531-11,코인빨래방,37.48309133247402,126.91346976756931,keyword
워시엔조이 신대방역점,서울 관악구 신림동 511-30,코인빨래방,37.4841108890707,126.915426888535,keyword
워시엔조이 독산점,서울 금천구 독산동 148-12,코인빨래방,37.47361439759492,126.89548768601489,keyword
JJ런드로맷카페,서울 관악구 신림동 1654-25,코인빨래방,37.4829021770821,126.904201014662,keyword
워시테리아 대림점,서울 영등포구 대림동 975-39,코인빨래방,37.4903741672058,126.90523402502,keyword
AMPM워시큐 가산DS점,서울 금천구 가산동 148-1,코인빨래방,37.476968566807095,126.89618169421574,keyword
크린토피아 코인워시 가산동주민센터점,서울 금천구 가산동 143-20,코인빨래방,37.47719564488317,126.89022676285383,keyword
런드리타운 구로디지털단지점,서울 구로구 구로동 1130-51,코인빨래방,37.4806007050573,126.897409026856,keyword
빨래해요24,서울 관악구 신림동 567-2,코인빨래방,37.4812028506281,126.906419184624,keyword
워시엔조이 금천디지털로점,서울 금천구 가산동 140-30,코인빨래방,37.4785687077452,126.889181235866,keyword
AMPM워시큐 가산멀티점,서울 금천구 가산동 145-20,코인빨래방,37.4769921262519,126.892303878845,keyword
에코런드렛 신림중앙점,서울 관악구 신림동 532-13,코인빨래방,37.4836897252665,126.912414181025,keyword
런드리익스프레스샵 가산디지털점,서울 금천구 가산동 235-61,코인빨래방,37.47347506935377,126.89086754316206,keyword
크린토피아 코인워시 구로가리봉시장점,서울 구로구 가리봉동 125-6,코인빨래방,37.48087198846665,126.88854469429212,keyword
파란빨래방 난곡사거리점,서울 관악구 신림동 1490-4,코인빨래방,37.4794814326007,126.912845324155,keyword
24시셀프빨래방,서울 관악구 신림동 1667,코인빨래방,37.4800782289561,126.901778362014,keyword
워시테리아 남구로점,서울 구로구 구로동 797-47,코인빨래방,37.4844498363806,126.88944390856,keyword
워시프렌즈 셀프빨래방 금천독산1동점,서울 금천구 독산동 298-9,코인빨래방,37.47239185057743,126.89461213607537,keyword
화이트365 신대방역점,서울 관악구 신림동 480-2,코인빨래방,37.48575261046342,126.91810475212979,keyword
월드크리닝 구로래미안점,서울 구로구 구로동 170-1,코인빨래방,37.48902797822019,126.89250483294823,keyword
24시 셀프빨래방,서울 금천구 독산동 900-16,코인빨래방,37.4799242652104,126.907494842674,keyword
빨래B,서울 금천구 독산동 953,코인빨래방,37.4784175424107,126.900549344408,keyword
런드리익스프레스샵 신림남부초교점,서울 관악구 신림동 487-17,코인빨래방,37.4835432798999,126.920660166453,keyword
월드크리닝 코인월드 독산점,서울 금천구 독산동 302-21,코인빨래방,37.4721695369242,126.891881217551,keyword
봄이셀프빨래방,서울 금천구 독산동 885-22,코인빨래방,37.4778625280376,126.904936660883,keyword
아네스트빨래방카페밀키트,서울 금천구 독산동 143-1,코인빨래방,37.478152396433,126.897101468149,keyword
스피드워시24,서울 관악구 신림동 520-24,코인빨래방,37.4848191361851,126.913020030766,keyword
워시큐 가산DS점,서울 금천구 가산동 148-1,코인빨래방,37.4769622895454,126.896215619354,keyword
크린토피아 코인워시365 독산제일점,서울 금천구 독산동 1016-22,코인빨래방,37.467970775378575,126.90000589142234,keyword
AMPM워시큐 신대방역점,서울 관악구 신림동 495-9,코인빨래방,37.4869982811009,126.917496206503,keyword
에이블짐 구로디지털단지역점,서울 구로구 구로동 1124-42,헬스장,37.4845449452323,126.901198138095,keyword
머슬마인드 구로디지털본점,서울 구로구 구로동 1127-30,헬스장,37.48262037979808,126.89905246821145,keyword
짐박스피트니스 구로디지털단지점,서울 구로구 구로동 188-25,헬스장,37.4850671499381,126.89654361011,keyword
스포애니 난곡점,서울 금천구 독산동 901-7,헬스장,37.4805455888978,126.90933922014,keyword
머슬마인드짐 구로디지털1호점,서울 구로구 구로동 1127-36,헬스장,37.4822406824075,126.899672563206,keyword
랩스휘트니스 독산점,서울 금천구 독산동 951-4,헬스장,37.47945972942238,126.90347052847427,keyword
우리크로스핏 구로디지털단지점,서울 구로구 구로동 1124-38,헬스장,37.4839913515565,126.900751127938,keyword
리조트휘트니스PT 구로디지털단지점,서울 구로구 구로동 1128,헬스장,37.4826910410209,126.898447483517,keyword
유얼스짐,서울 관악구 신림동 1654-8,헬스장,37.4832980074029,126.903447500362,keyword
무브짐&아루카PT필라,서울 관악구 신림동 1668,헬스장,37.4801287086211,126.902896455625,keyword
IXU웰니스짐,서울 구로구 구로동 186-7,헬스장,37.4861610512946,126.898713020891,keyword
스포애니 가산동점,서울 금천구 가산동 772,헬스장,37.47547965918584,126.89366041947484,keyword
스포애니 구로디지털점,서울 구로구 구로동 212-30,헬스장,37.4839531395286,126.894098411373,keyword
에이펙스피트니스 구로디지털점,서울 구로구 구로동 237,헬스장,37.4819918651846,126.892348711947,keyword
노블휘트니스,서울 구로구 구로동 1126-1,헬스장,37.4825712043029,126.90056306009,keyword
정피트니스,서울 관악구 신림동 1666,헬스장,37.4817823658664,126.901093236163,keyword
러너스하이피트니스 구로디지털,서울 구로구 구로동 1127-33,헬스장,37.4830261166462,126.899384330462,keyword
F45 구로디지털단지,서울 구로구 구로동 191-7,헬스장,37.4857059583698,126.895512679536,keyword
나래핏 앤 필라테스,서울 관악구 신림동 563,헬스장,37.481838190704075,126.90772878320689,keyword
인스타짐 구로디지털단지점,서울 구로구 구로동 197-48,헬스장,37.4844894215003,126.893299407139,keyword
MF토탈휘트니스 난곡점,서울 관악구 신림동 1474-23,헬스장,37.4814610459077,126.914208809514,keyword
크로스핏 503,서울 구로구 구로동 235-2,헬스장,37.4818929331251,126.893540530249,keyword
짐박스피트니스 신대방점,서울 동작구 신대방동 607-5,헬스장,37.4903764079397,126.908069944991,keyword
설핏,서울 관악구 신림동 538-40,헬스장,37.4822283084931,126.913664100209,keyword
리조트휘트니스 구로디지털점,서울 구로구 구로동 1128-4,헬스장,37.4826919410564,126.898446351664,keyword
브로콜리휘트니스PT,서울 금천구 가산동 151-16,헬스장,37.4773286113647,126.893750505063,keyword
현아카데미,서울 구로구 구로동 830,헬스장,37.4810831006006,126.896783139681,keyword
에스엠휘트니스 난곡사거리점,서울 관악구 신림동 527-3,헬스장,37.482182381935,126.914940631259,keyword
올라운드짐,서울 구로구 구로동 182-13,헬스장,37.4859926224903,126.897736336813,keyword
정피트니스,서울 관악구 신림동 1655-6,헬스장,37.4833755124019,126.902373287714,keyword
엠에이치토탈휘트니스 신대방점,서울 동작구 신대방동 607-26,헬스장,37.4899752159217,126.90775722038481,keyword
터틀짐,서울 관악구 신림동 561-4,헬스장,37.48347515056232,126.9086663375733,keyword
휘트니스피플 구로디지털단지점,서울 구로구 구로동 182-13,헬스장,37.4859165888252,126.897333917157,keyword
EMS바디발전소,서울 구로구 구로동 191-7,헬스장,37.4857059583698,126.895512679536,keyword
업프로짐,서울 관악구 신림동 1668,헬스장,37.4801332229441,126.902907755747,keyword
렛츠핏 가산점,서울 금천구 가산동 150-2,헬스장,37.475783038161,126.893370573766,keyword
러너하이피트니스,서울 구로구 구로동 1127-33,헬스장,37.4831351856979,126.899439585638,keyword
니나강짐,서울 구로구 구로동 1125-9,헬스장,37.4829869730956,126.901044161433,keyword
피스트엑스 구로디지털단지 클럽,서울 구로구 구로동 188-25,헬스장,37.4849274889036,126.896538149351,keyword
에이치짐 2호점,서울 금천구 독산동 144-49,헬스장,37.4749622818734,126.89751508958,keyword
엔짐 독산점,서울 금천구 독산동 295-6,헬스장,37.4713907757734,126.895567653662,keyword
유얼스짐PT 신대방역점,서울 관악구 신림동 518-56,헬스장,37.4859285685371,126.913416745227,keyword
